Method,Dataset,Accuracy (R@1),Accuracy (R@5),Accuracy (R@10),Extraction Latency CPU (ms),Extraction Latency GPU (ms),Matching Latency (ms),Model Memory (MB),DB Memory (MB)
TeTRA-BoQ-DD[1],Essex3in1,90.48,100.00,100.00,,14.59,0.02,103.41,0.31
TeTRA-BoQ-DD[1],Tokyo247,88.57,94.60,96.51,,15.36,6.92,103.41,111.30
TeTRA-BoQ-DD[1],Nordland,41.01,55.11,60.51,,14.75,2.47,103.41,40.42
TeTRA-BoQ-DD[1],SPED,100.00,100.00,100.00,,14.81,0.05,103.41,0.89
TeTRA-BoQ-DD[2],SVOX-sun,94.85,98.13,98.83,,14.45,0.65,103.40,12.57
TeTRA-BoQ-DD[2],SVOX-rain,95.41,98.51,98.93,,14.58,0.66,103.40,12.57
TeTRA-BoQ-DD[2],SVOX-snow,97.13,98.97,99.31,,14.56,0.66,103.40,12.57
TeTRA-BoQ-DD[2],SVOX-overcast,97.59,98.51,99.20,,14.37,0.65,103.40,12.57
TeTRA-BoQ-DD[2],SVOX-night,64.28,81.29,85.91,,14.21,0.66,103.40,12.57
TeTRA-BoQ-DD[2],MSLS,86.38,92.62,94.17,,14.56,0.75,103.40,13.82
TeTRA-BoQ-DD[2],Pitts30k,91.56,95.88,97.04,,14.65,0.39,103.40,7.32
TeTRA-BoQ-DD[2],Essex3in1,89.52,100.00,100.00,,14.43,0.01,103.40,0.15
TeTRA-BoQ-DD[2],Tokyo247,87.30,94.92,96.83,,14.32,3.47,103.40,55.65
TeTRA-BoQ-DD[2],Nordland,38.30,53.08,58.30,,14.49,1.08,103.40,20.21
TeTRA-BoQ-DD[2],SPED,100.00,100.00,100.00,,14.37,0.03,103.40,0.44
TeTRA-SALAD-DD[1],SVOX-sun,93.44,98.48,99.18,,14.18,0.91,54.92,17.29
TeTRA-SALAD-DD[1],SVOX-rain,94.45,98.61,98.93,,13.98,0.90,54.92,17.29
TeTRA-SALAD-DD[1],SVOX-snow,96.32,98.85,98.97,,13.99,0.94,54.92,17.29
TeTRA-SALAD-DD[1],SVOX-overcast,96.67,98.51,98.97,,14.84,0.91,54.92,17.29
TeTRA-SALAD-DD[1],SVOX-night,52.37,69.87,76.31,,14.33,0.93,54.92,17.29
TeTRA-SALAD-DD[1],MSLS,84.69,91.66,93.82,,14.39,0.99,54.92,19.00
TeTRA-SALAD-DD[1],Pitts30k,90.30,95.44,97.33,,14.16,0.55,54.92,10.07
TeTRA-SALAD-DD[1],Essex3in1,87.62,100.00,100.00,,14.34,0.02,54.92,0.21
TeTRA-SALAD-DD[1],Tokyo247,85.40,93.65,95.56,,14.37,4.87,54.92,76.52
TeTRA-SALAD-DD[1],Nordland,33.19,47.17,52.90,,14.25,1.55,54.92,27.79
TeTRA-SALAD-DD[1],SPED,100.00,100.00,100.00,,14.39,0.04,54.92,0.61
TeTRA-SALAD-DD[2],SVOX-sun,89.23,97.42,98.83,,14.14,0.51,54.81,8.82
TeTRA-SALAD-DD[2],SVOX-rain,94.24,98.19,98.72,,14.03,0.50,54.81,8.82
TeTRA-SALAD-DD[2],SVOX-snow,95.06,98.85,99.43,,14.20,0.50,54.81,8.82
TeTRA-SALAD-DD[2],SVOX-overcast,96.10,98.39,99.08,,14.51,0.51,54.81,8.82
TeTRA-SALAD-DD[2],SVOX-night,45.69,67.92,75.21,,14.35,0.51,54.81,8.82
TeTRA-SALAD-DD[2],MSLS,84.05,91.20,93.13,,14.29,0.55,54.81,9.70
TeTRA-SALAD-DD[2],Pitts30k,90.45,95.70,97.12,,14.24,0.29,54.81,5.14
TeTRA-SALAD-DD[2],Essex3in1,87.14,99.52,100.00,,14.29,0.01,54.81,0.11
TeTRA-SALAD-DD[2],Tokyo247,80.95,91.43,94.92,,14.19,2.46,54.81,39.06
TeTRA-SALAD-DD[2],Nordland,29.71,44.02,49.53,,14.01,0.82,54.81,14.18
TeTRA-SALAD-DD[2],SPED,100.00,100.00,100.00,,14.35,0.02,54.81,0.31
TeTRA-MixVPR-DD[1],SVOX-sun,90.75,95.90,97.31,,13.50,0.47,61.12,8.38
TeTRA-MixVPR-DD[1],SVOX-rain,92.21,97.01,98.08,,13.51,0.45,61.12,8.38
TeTRA-MixVPR-DD[1],SVOX-snow,94.94,98.28,98.62,,13.80,0.45,61.12,8.38
TeTRA-MixVPR-DD[1],SVOX-overcast,95.30,98.17,98.74,,14.50,0.46,61.12,8.38
TeTRA-MixVPR-DD[1],SVOX-night,48.97,67.31,74.24,,14.24,0.52,61.12,8.38
TeTRA-MixVPR-DD[1],MSLS,82.18,89.95,92.08,,13.61,0.53,61.12,9.21
TeTRA-MixVPR-DD[1],Pitts30k,90.35,95.19,96.52,,14.06,0.26,61.12,4.88
TeTRA-MixVPR-DD[1],Essex3in1,85.24,99.52,100.00,,13.70,0.01,61.12,0.10
TeTRA-MixVPR-DD[1],Tokyo247,82.54,92.38,94.29,,13.78,2.23,61.12,37.10
TeTRA-MixVPR-DD[1],Nordland,42.36,58.77,64.46,,13.58,0.76,61.12,13.47
TeTRA-MixVPR-DD[1],SPED,100.00,100.00,100.00,,14.17,0.02,61.12,0.30
TeTRA-MixVPR-DD[2],SVOX-sun,87.59,95.78,97.42,,13.58,0.23,59.62,4.19
TeTRA-MixVPR-DD[2],SVOX-rain,89.33,96.48,97.44,,13.60,0.23,59.62,4.19
TeTRA-MixVPR-DD[2],SVOX-snow,93.45,97.59,97.93,,13.60,0.24,59.62,4.19
TeTRA-MixVPR-DD[2],SVOX-overcast,94.27,97.94,98.62,,14.53,0.23,59.62,4.19
TeTRA-MixVPR-DD[2],SVOX-night,42.89,61.97,68.53,,13.59,0.23,59.62,4.19
TeTRA-MixVPR-DD[2],MSLS,81.73,89.85,92.21,,14.04,0.25,59.62,4.61
TeTRA-MixVPR-DD[2],Pitts30k,89.99,95.04,96.51,,13.66,0.14,59.62,2.44
TeTRA-MixVPR-DD[2],Essex3in1,83.81,100.00,100.00,,13.88,0.01,59.62,0.05
TeTRA-MixVPR-DD[2],Tokyo247,84.76,92.70,94.29,,13.85,1.20,59.62,18.55
TeTRA-MixVPR-DD[2],Nordland,38.55,54.09,59.89,,13.35,0.37,59.62,6.74
TeTRA-MixVPR-DD[2],SPED,100.00,100.00,100.00,,13.44,0.01,59.62,0.15
DinoV2-Salad,SVOX-sun,97.07,99.41,99.65,,9.14,25.43,335.66,553.20
DinoV2-Salad,SVOX-rain,98.72,99.68,99.89,,9.57,24.36,335.66,553.20
DinoV2-Salad,SVOX-snow,98.62,99.66,99.77,,9.28,25.81,335.66,553.20
DinoV2-Salad,SVOX-overcast,98.28,99.31,99.31,,9.48,27.55,335.66,553.20
DinoV2-Salad,SVOX-night,95.50,99.27,99.39,,9.34,26.11,335.66,553.20
DinoV2-Salad,MSLS,88.22,93.84,95.13,,9.24,26.98,335.66,1216.29
DinoV2-Salad,Pitts30k,92.40,96.19,97.39,,9.18,14.05,335.66,644.53
DinoV2-Salad,Essex3in1,89.05,100.00,100.00,,9.19,0.19,335.66,13.54
DinoV2-Salad,Tokyo247,94.29,97.78,98.10,,8.96,115.00,335.66,2448.70
DinoV2-Salad,Nordland,76.45,89.02,92.07,,9.08,41.77,335.66,889.20
DinoV2-Salad,SPED,100.00,100.00,100.00,,9.35,0.55,335.66,19.56
CosPlaces-D32,SVOX-sun,29.63,48.01,56.09,,3.44,0.06,90.13,2.10
CosPlaces-D32,SVOX-rain,48.45,68.62,76.73,,3.54,0.06,90.13,2.10
CosPlaces-D32,SVOX-snow,56.55,80.34,87.01,,3.43,0.06,90.13,2.10
CosPlaces-D32,SVOX-overcast,63.30,82.68,88.07,,3.50,0.06,90.13,2.10
CosPlaces-D32,SVOX-night,8.87,20.66,27.10,,3.45,0.07,90.13,2.10
CosPlaces-D32,MSLS,68.31,79.96,83.05,,3.25,0.07,90.13,2.30
CosPlaces-D32,Pitts30k,79.28,90.98,94.16,,3.76,0.04,90.13,1.22
CosPlaces-D32,Essex3in1,71.90,90.00,92.86,,3.37,0.00,90.13,0.03
CosPlaces-D32,Tokyo247,43.49,61.59,69.52,,3.24,0.26,90.13,9.28
CosPlaces-D32,Nordland,11.96,22.72,28.73,,3.24,0.10,90.13,3.37
CosPlaces-D32,SPED,100.00,100.00,100.00,,3.26,0.00,90.13,0.07
CosPlaces-D64,SVOX-sun,50.35,70.61,76.23,,3.31,0.09,90.38,4.19
CosPlaces-D64,SVOX-rain,71.61,85.49,90.93,,3.27,0.09,90.38,4.19
CosPlaces-D64,SVOX-snow,81.84,92.87,95.17,,3.86,0.09,90.38,4.19
CosPlaces-D64,SVOX-overcast,84.29,92.78,94.84,,3.22,0.09,90.38,4.19
CosPlaces-D64,SVOX-night,17.01,33.41,43.74,,3.25,0.09,90.38,4.19
CosPlaces-D64,MSLS,77.39,85.90,88.08,,3.23,0.10,90.38,4.61
CosPlaces-D64,Pitts30k,86.34,93.54,95.29,,3.27,0.05,90.38,2.44
CosPlaces-D64,Essex3in1,79.05,94.29,97.14,,3.31,0.00,90.38,0.05
CosPlaces-D64,Tokyo247,62.54,82.22,86.03,,3.23,0.44,90.38,18.55
CosPlaces-D64,Nordland,25.36,39.78,46.59,,3.35,0.14,90.38,6.74
CosPlaces-D64,SPED,100.00,100.00,100.00,,3.62,0.01,90.38,0.15
CosPlaces-D128,SVOX-sun,61.83,77.75,82.90,,3.30,0.18,90.88,8.38
CosPlaces-D128,SVOX-rain,78.44,89.43,91.89,,3.32,0.18,90.88,8.38
CosPlaces-D128,SVOX-snow,84.37,93.91,96.21,,3.27,0.17,90.88,8.38
CosPlaces-D128,SVOX-overcast,86.58,93.46,95.53,,3.25,0.18,90.88,8.38
CosPlaces-D128,SVOX-night,32.32,51.88,61.73,,3.58,0.18,90.88,8.38
CosPlaces-D128,MSLS,81.09,88.70,90.80,,3.28,0.19,90.88,9.21
CosPlaces-D128,Pitts30k,89.45,94.91,96.13,,3.33,0.10,90.88,4.88
CosPlaces-D128,Essex3in1,79.05,96.67,98.57,,3.28,0.00,90.88,0.10
CosPlaces-D128,Tokyo247,74.60,86.03,89.52,,3.50,1.54,90.88,37.10
CosPlaces-D128,Nordland,36.01,51.92,58.66,,3.35,0.30,90.88,13.47
CosPlaces-D128,SPED,100.00,100.00,100.00,,3.37,0.01,90.88,0.30
CosPlaces-D512,SVOX-sun,72.83,87.94,91.33,,3.23,1.41,93.88,33.53
CosPlaces-D512,SVOX-rain,84.74,93.70,95.30,,3.31,1.43,93.88,33.53
CosPlaces-D512,SVOX-snow,87.93,96.09,96.78,,3.45,1.45,93.88,33.53
CosPlaces-D512,SVOX-overcast,88.88,95.76,96.67,,3.45,1.47,93.88,33.53
CosPlaces-D512,SVOX-night,49.94,66.59,74.73,,3.27,1.29,93.88,33.53
CosPlaces-D512,MSLS,83.28,89.98,91.88,,3.31,1.46,93.88,36.86
CosPlaces-D512,Pitts30k,90.23,95.01,96.23,,3.25,0.44,93.88,19.53
CosPlaces-D512,Essex3in1,84.76,98.10,99.05,,3.26,0.01,93.88,0.41
CosPlaces-D512,Tokyo247,84.44,91.43,94.92,,3.26,6.85,93.88,148.41
CosPlaces-D512,Nordland,37.14,52.86,58.12,,3.38,2.47,93.88,53.89
CosPlaces-D512,SPED,100.00,100.00,100.00,,3.34,0.03,93.88,1.19
CosPlaces-D1024,SVOX-sun,76.35,87.24,90.52,,3.35,3.07,97.88,67.05
CosPlaces-D1024,SVOX-rain,85.70,92.96,94.88,,3.31,3.04,97.88,67.05
CosPlaces-D1024,SVOX-snow,90.11,96.90,97.36,,3.32,3.04,97.88,67.05
CosPlaces-D1024,SVOX-overcast,90.48,96.22,96.79,,3.24,3.02,97.88,67.05
CosPlaces-D1024,SVOX-night,45.44,63.30,69.50,,3.27,3.02,97.88,67.05
CosPlaces-D1024,MSLS,84.07,90.67,92.28,,3.26,3.36,97.88,73.71
CosPlaces-D1024,Pitts30k,90.71,95.32,96.27,,3.33,1.63,97.88,39.06
CosPlaces-D1024,Essex3in1,83.81,97.62,98.57,,3.27,0.02,97.88,0.82
CosPlaces-D1024,Tokyo247,82.22,91.43,94.92,,3.50,13.14,97.88,296.81
CosPlaces-D1024,Nordland,45.51,61.59,67.75,,3.41,4.96,97.88,107.78
CosPlaces-D1024,SPED,100.00,100.00,100.00,,3.28,0.06,97.88,2.37
CosPlaces-D2048,SVOX-sun,76.35,88.64,92.15,,3.30,5.84,105.89,134.11
CosPlaces-D2048,SVOX-rain,85.38,94.13,96.16,,3.80,5.98,105.89,134.11
CosPlaces-D2048,SVOX-snow,90.23,98.28,98.28,,3.63,6.26,105.89,134.11
CosPlaces-D2048,SVOX-overcast,91.40,97.36,98.28,,3.30,5.81,105.89,134.11
CosPlaces-D2048,SVOX-night,49.57,66.59,73.63,,3.32,6.26,105.89,134.11
CosPlaces-D2048,MSLS,84.13,90.45,92.32,,3.26,6.64,105.89,147.43
CosPlaces-D2048,Pitts30k,90.82,95.44,96.43,,3.31,3.56,105.89,78.12
CosPlaces-D2048,Essex3in1,84.29,98.57,99.52,,3.29,0.05,105.89,1.64
CosPlaces-D2048,Tokyo247,82.54,90.48,93.97,,3.27,27.90,105.89,593.62
CosPlaces-D2048,Nordland,45.43,61.78,67.50,,3.30,9.82,105.89,215.56
CosPlaces-D2048,SPED,100.00,100.00,100.00,,3.43,0.13,105.89,4.74
DinoV2-BoQ,SVOX-sun,97.54,99.41,99.41,,9.37,37.50,363.18,804.66
DinoV2-BoQ,SVOX-rain,98.83,99.68,99.79,,9.35,36.63,363.18,804.66
DinoV2-BoQ,SVOX-snow,99.43,99.66,99.89,,9.58,35.90,363.18,804.66
DinoV2-BoQ,SVOX-overcast,98.51,99.31,99.43,,9.38,37.28,363.18,804.66
DinoV2-BoQ,SVOX-night,97.21,99.51,99.88,,9.23,36.70,363.18,804.66
DinoV2-BoQ,MSLS,89.94,94.28,95.49,,9.01,41.13,363.18,884.58
DinoV2-BoQ,Pitts30k,93.69,97.02,97.90,,9.53,22.07,363.18,937.50
DinoV2-BoQ,Essex3in1,90.95,99.52,100.00,,9.03,0.28,363.18,19.69
DinoV2-BoQ,Tokyo247,96.51,98.10,98.73,,8.99,164.25,363.18,3561.75
DinoV2-BoQ,Nordland,81.34,92.50,94.75,,9.42,58.52,363.18,1293.38
DinoV2-BoQ,SPED,100.00,100.00,100.00,,9.16,1.00,363.18,28.45
EigenPlaces-D128,SVOX-sun,67.33,80.91,86.18,,3.23,0.17,90.88,8.38
EigenPlaces-D128,SVOX-rain,82.92,92.32,94.77,,3.22,0.17,90.88,8.38
EigenPlaces-D128,SVOX-snow,89.08,96.90,97.82,,3.20,0.17,90.88,8.38
EigenPlaces-D128,SVOX-overcast,89.91,95.76,96.44,,3.25,0.18,90.88,8.38
EigenPlaces-D128,SVOX-night,29.65,50.30,58.20,,3.28,0.17,90.88,8.38
EigenPlaces-D128,MSLS,81.00,87.83,90.01,,3.78,0.19,90.88,9.21
EigenPlaces-D128,Pitts30k,90.04,95.50,96.63,,3.30,0.10,90.88,4.88
EigenPlaces-D128,Essex3in1,86.19,97.62,99.05,,3.23,0.00,90.88,0.10
EigenPlaces-D128,Tokyo247,74.60,87.62,91.75,,3.57,1.49,90.88,37.10
EigenPlaces-D128,Nordland,30.14,46.16,52.39,,3.23,0.28,90.88,13.47
EigenPlaces-D128,SPED,100.00,100.00,100.00,,3.24,0.01,90.88,0.30
EigenPlaces-D256,SVOX-sun,76.11,88.64,92.27,,3.23,0.37,91.88,16.76
EigenPlaces-D256,SVOX-rain,85.27,94.02,95.30,,3.25,0.37,91.88,16.76
EigenPlaces-D256,SVOX-snow,90.69,97.24,97.82,,3.33,0.38,91.88,16.76
EigenPlaces-D256,SVOX-overcast,91.51,96.22,97.48,,3.32,0.38,91.88,16.76
EigenPlaces-D256,SVOX-night,42.53,61.48,70.11,,3.37,0.37,91.88,16.76
EigenPlaces-D256,MSLS,83.10,89.81,91.58,,3.28,0.49,91.88,18.43
EigenPlaces-D256,Pitts30k,91.27,95.72,97.02,,3.24,0.22,91.88,9.77
EigenPlaces-D256,Essex3in1,87.14,98.57,99.05,,3.29,0.01,91.88,0.21
EigenPlaces-D256,Tokyo247,78.73,88.89,92.38,,3.26,3.46,91.88,74.20
EigenPlaces-D256,Nordland,39.57,54.67,60.65,,3.21,0.93,91.88,26.95
EigenPlaces-D256,SPED,100.00,100.00,100.00,,3.48,0.02,91.88,0.59
EigenPlaces-D512,SVOX-sun,79.86,92.62,95.08,,3.22,1.24,93.88,33.53
EigenPlaces-D512,SVOX-rain,88.47,95.30,96.69,,3.27,1.27,93.88,33.53
EigenPlaces-D512,SVOX-snow,91.03,97.59,98.05,,3.27,1.29,93.88,33.53
EigenPlaces-D512,SVOX-overcast,92.09,97.36,97.94,,3.24,1.26,93.88,33.53
EigenPlaces-D512,SVOX-night,53.71,73.03,80.19,,3.24,1.26,93.88,33.53
EigenPlaces-D512,MSLS,84.88,91.07,92.70,,3.24,1.42,93.88,36.86
EigenPlaces-D512,Pitts30k,92.06,96.42,97.34,,3.26,0.51,93.88,19.53
EigenPlaces-D512,Essex3in1,88.57,99.05,99.05,,3.31,0.01,93.88,0.41
EigenPlaces-D512,Tokyo247,83.49,92.06,95.24,,3.25,6.84,93.88,148.41
EigenPlaces-D512,Nordland,46.20,61.56,67.64,,3.28,2.46,93.88,53.89
EigenPlaces-D512,SPED,100.00,100.00,100.00,,3.25,0.03,93.88,1.19
EigenPlaces-D2048,SVOX-sun,86.07,94.15,96.14,,3.26,6.22,105.89,134.11
EigenPlaces-D2048,SVOX-rain,88.15,95.41,97.12,,3.29,6.34,105.89,134.11
EigenPlaces-D2048,SVOX-snow,91.38,97.59,98.16,,3.42,6.29,105.89,134.11
EigenPlaces-D2048,SVOX-overcast,92.43,97.25,98.05,,3.25,6.35,105.89,134.11
EigenPlaces-D2048,SVOX-night,59.05,77.04,82.50,,3.28,6.22,105.89,134.11
EigenPlaces-D2048,MSLS,85.56,91.15,92.73,,3.24,6.88,105.89,147.43
EigenPlaces-D2048,Pitts30k,92.69,96.70,97.56,,3.21,3.63,105.89,78.12
EigenPlaces-D2048,Essex3in1,89.05,98.57,99.52,,3.26,0.05,105.89,1.64
EigenPlaces-D2048,Tokyo247,86.67,93.65,95.87,,3.39,27.39,105.89,593.62
EigenPlaces-D2048,Nordland,46.92,61.41,66.20,,3.22,10.12,105.89,215.56
EigenPlaces-D2048,SPED,100.00,100.00,100.00,,3.23,0.13,105.89,4.74
MixVPR,SVOX-sun,85.25,93.09,94.85,,2.86,12.89,41.62,268.22
MixVPR,SVOX-rain,92.21,97.12,98.08,,2.95,13.49,41.62,268.22
MixVPR,SVOX-snow,97.01,98.28,98.74,,2.95,12.72,41.62,268.22
MixVPR,SVOX-overcast,96.33,98.51,99.08,,3.01,12.14,41.62,268.22
MixVPR,SVOX-night,63.30,78.74,83.11,,2.98,12.82,41.62,268.22
MixVPR,MSLS,83.27,89.98,91.93,,3.05,13.42,41.62,294.86
MixVPR,Pitts30k,91.49,95.50,96.36,,3.00,7.02,41.62,156.25
MixVPR,Essex3in1,88.57,100.00,100.00,,2.97,0.09,41.62,3.28
MixVPR,Tokyo247,86.67,93.02,94.60,,3.03,52.36,41.62,1187.25
MixVPR,Nordland,54.17,70.04,74.86,,3.01,19.36,41.62,431.12
MixVPR,SPED,100.00,100.00,100.00,,2.91,0.26,41.62,9.48
ResNet50-BoQ,SVOX-sun,95.78,98.83,98.95,,3.77,48.77,91.08,1072.88
ResNet50-BoQ,SVOX-rain,96.16,99.47,99.68,,3.87,47.35,91.08,1072.88
ResNet50-BoQ,SVOX-snow,98.74,99.54,99.66,,3.99,49.30,91.08,1072.88
ResNet50-BoQ,SVOX-overcast,97.82,99.20,99.31,,4.04,47.41,91.08,1072.88
ResNet50-BoQ,SVOX-night,87.12,94.41,96.11,,3.70,48.13,91.08,1072.88
ResNet50-BoQ,MSLS,87.72,93.00,94.61,,3.79,52.88,91.08,1179.44
ResNet50-BoQ,Pitts30k,92.43,96.49,97.40,,3.76,27.30,91.08,1250.00
ResNet50-BoQ,Essex3in1,93.33,100.00,100.00,,3.78,0.37,91.08,26.25
ResNet50-BoQ,Tokyo247,91.43,96.19,96.83,,3.78,229.13,91.08,4749.00
ResNet50-BoQ,Nordland,70.69,83.99,87.50,,3.78,77.46,91.08,1724.50
ResNet50-BoQ,SPED,100.00,100.00,100.00,,3.69,1.60,91.08,37.94
